,ANT,NOR,VER,RUS,HAM,LEC,HAD,PIA,LIN,LAW,BOR,HUL,GAS,COL,BEA,SAI,OCO,ALB,PER,BOT,ALO,STR
ANT,0.0,0.5881,0.6619,0.7244,0.7962,0.9018,0.8987,0.8981,0.9021,0.9023,0.907,0.9064,0.9013,0.9012,0.9022,0.9041,0.9025,0.9048,0.9083,0.9084,0.9071,0.9072
NOR,0.4119,0.0,0.5788,0.6029,0.6802,0.8671,0.8523,0.8586,0.8843,0.8876,0.9012,0.8983,0.8955,0.8931,0.8962,0.9004,0.8976,0.9006,0.9037,0.9046,0.9027,0.9029
VER,0.3381,0.4212,0.0,0.4922,0.5514,0.8255,0.8349,0.7868,0.8556,0.86,0.8821,0.8776,0.8755,0.8697,0.8756,0.8815,0.8776,0.8805,0.8858,0.8857,0.8837,0.8828
RUS,0.2756,0.3971,0.5078,0.0,0.6164,0.8999,0.8748,0.8778,0.9016,0.9021,0.9069,0.9062,0.9011,0.9014,0.9029,0.9057,0.9026,0.9053,0.9091,0.9094,0.9083,0.9074
HAM,0.2038,0.3198,0.4486,0.3836,0.0,0.9176,0.8713,0.8748,0.9232,0.9245,0.9296,0.9291,0.9254,0.9256,0.9268,0.9284,0.9268,0.9283,0.9308,0.9313,0.9297,0.93
LEC,0.0982,0.1329,0.1745,0.1001,0.0824,0.0,0.4404,0.3845,0.7568,0.7901,0.9266,0.8884,0.9236,0.8783,0.9133,0.9267,0.9244,0.9264,0.9292,0.9296,0.9281,0.9283
HAD,0.1013,0.1477,0.1651,0.1252,0.1287,0.5596,0.0,0.4684,0.7263,0.7546,0.8686,0.8391,0.8621,0.8275,0.8566,0.8772,0.8732,0.8733,0.8817,0.8813,0.8804,0.8799
PIA,0.1019,0.1414,0.2132,0.1222,0.1252,0.6155,0.5316,0.0,0.7883,0.8094,0.8924,0.8727,0.8877,0.8615,0.8824,0.8977,0.8952,0.8957,0.9017,0.9031,0.9008,0.9004
LIN,0.0979,0.1157,0.1444,0.0984,0.0768,0.2432,0.2737,0.2117,0.0,0.5679,0.8981,0.809,0.8946,0.7916,0.8739,0.9205,0.9181,0.9094,0.9271,0.9265,0.9256,0.9262
LAW,0.0977,0.1124,0.14,0.0979,0.0755,0.2099,0.2454,0.1906,0.4321,0.0,0.914,0.8042,0.918,0.7919,0.8953,0.9248,0.9226,0.9225,0.9279,0.9283,0.9266,0.9267
BOR,0.093,0.0988,0.1179,0.0931,0.0704,0.0734,0.1314,0.1076,0.1019,0.086,0.0,0.2458,0.4733,0.1402,0.366,0.8061,0.7928,0.6473,0.8551,0.8443,0.8555,0.8561
HUL,0.0936,0.1017,0.1224,0.0938,0.0709,0.1116,0.1609,0.1273,0.191,0.1958,0.7542,0.0,0.7076,0.3948,0.6251,0.8367,0.8294,0.7942,0.8578,0.8561,0.8564,0.8564
GAS,0.0987,0.1045,0.1245,0.0989,0.0746,0.0764,0.1379,0.1123,0.1054,0.082,0.5267,0.2924,0.0,0.095,0.3614,0.9292,0.9231,0.7449,0.9524,0.9472,0.9515,0.951
COL,0.0988,0.1069,0.1303,0.0986,0.0744,0.1217,0.1725,0.1385,0.2084,0.2081,0.8598,0.6052,0.905,0.0,0.8023,0.9502,0.9486,0.9359,0.9517,0.9522,0.9509,0.9512
BEA,0.0978,0.1038,0.1244,0.0971,0.0732,0.0867,0.1434,0.1176,0.1261,0.1047,0.634,0.3749,0.6386,0.1977,0.0,0.8999,0.8965,0.8142,0.9274,0.9241,0.9281,0.9283
SAI,0.0959,0.0996,0.1185,0.0943,0.0716,0.0733,0.1228,0.1023,0.0795,0.0752,0.1939,0.1633,0.0708,0.0498,0.1001,0.0,0.4459,0.2234,0.8566,0.7837,0.8738,0.8822
OCO,0.0975,0.1024,0.1224,0.0974,0.0732,0.0756,0.1268,0.1048,0.0819,0.0774,0.2072,0.1706,0.0769,0.0514,0.1035,0.5541,0.0,0.2565,0.922,0.8537,0.9266,0.9281
ALB,0.0952,0.0994,0.1195,0.0947,0.0717,0.0736,0.1267,0.1043,0.0906,0.0775,0.3527,0.2058,0.2551,0.0641,0.1858,0.7766,0.7435,0.0,0.8711,0.857,0.8784,0.8792
PER,0.0917,0.0963,0.1142,0.0909,0.0692,0.0708,0.1183,0.0983,0.0729,0.0721,0.1449,0.1422,0.0476,0.0483,0.0726,0.1434,0.078,0.1289,0.0,0.3156,0.7274,0.8114
BOT,0.0916,0.0954,0.1143,0.0906,0.0687,0.0704,0.1187,0.0969,0.0735,0.0717,0.1557,0.1439,0.0528,0.0478,0.0759,0.2163,0.1463,0.143,0.6844,0.0,0.7852,0.8134
ALO,0.0929,0.0973,0.1163,0.0917,0.0703,0.0719,0.1196,0.0992,0.0744,0.0734,0.1445,0.1436,0.0485,0.0491,0.0719,0.1262,0.0734,0.1216,0.2726,0.2148,0.0,0.8407
STR,0.0928,0.0971,0.1172,0.0926,0.07,0.0717,0.1201,0.0996,0.0738,0.0733,0.1439,0.1436,0.049,0.0488,0.0717,0.1178,0.0719,0.1208,0.1886,0.1866,0.1593,0.0
